
| Student_ID | Name | Gender | Age | Department | Attendance (%) | Marks | City |
| **ST026** | Rohit | Female | 19 | CIVIL | 72 | 74 | Chennai |
| **ST027** | Anjali | Female | 22 | MECH | 67 | 66 | Vijayawada |
| **ST028** | Priya | Female | 18 | CIVIL | 95 | 64 | Bangalore |
| **ST029** | Sneha | Male | 18 | CSE | 74 | 43 | Hyderabad |
| **ST030** | Anjali | Male | 22 | ECE | 77 | 97 | Vijayawada |
| **ST031** | Rohit | Male | 23 | *N/A* | *N/A* | 95 | Vijayawada |
| **ST032** | Pooja | *N/A* | 19 | CSE | 66 | 90 | Guntur |
| **ST033** | Vivek | Female | 21 | CSE | 66 | 42 | Chennai |
| **ST034** | Anjali | Male | *N/A* | ECE | 72 | 92 | Vijayawada |
| **ST035** | Vivek | Male | 20 | MECH | 75 | 44 | Chennai |
| **ST036** | Rohit | *N/A* | 18 | CIVIL | *N/A* | 46 | Vijayawada |
| **ST037** | Arjun | Female | 21 | MECH | 73 | 86 | Hyderabad |
| **ST038** | Arjun | Female | 18 | MECH | 76 | 93 | Guntur |
| **ST039** | Vivek | Female | 19 | ECE | 78 | 62 | Hyderabad |
| **ST040** | Kavya | Male | 23 | EEE | 63 | 41 | Bangalore |
| **ST041** | Pooja | Male | 18 | CIVIL | 65 | 58 | Hyderabad |
| **ST042** | Kavya | Male | *N/A* | ECE | 85 | 50 | Bangalore |
| **ST043** | Sneha | Male | 22 | CSE | 86 | 75 | Guntur |
| **ST044** | Sneha | Female | 19 | EEE | 85 | 51 | Visakhapatnam |
| **ST045** | Kiran | Female | 20 | CSE | 60 | 93 | Bangalore |
| **ST046** | Kavya | Male | 18 | CIVIL | 73 | 99 | Guntur |
| **ST047** | Arjun | Female | 18 | ECE | 83 | 71 | Vijayawada |
| **ST048** | Pooja | Female | 22 | CIVIL | 60 | 73 | Visakhapatnam |
| **ST049** | Priya | Male | 20 | CSE | 66 | 54 | Guntur |
| **ST050** | Kiran | Male | 23 | EEE | 73 | 68 | Bangalore |
| **ST051** | Pooja | Female | 24 | CSE | 65 | 89 | Guntur |
| **ST052** | Rahul | Male | 20 | ECE | 100 | 68 | Vijayawada |
| **ST053** | Pooja | Female | 22 | CSE | 67 | 44 | Visakhapatnam |
| **ST054** | Arjun | Male | 24 | EEE | 97 | 53 | Chennai |
| **ST055** | Arjun | Male | 20 | EEE | 62 | 80 | Vijayawada |
| **ST056** | Sneha | Male | 20 | CIVIL | 86 | 54 | Vijayawada |
| **ST057** | Arjun | Male | 21 | CSE | 71 | 77 | Chennai |
| **ST058** | Sneha | Female | 19 | CSE | 84 | 39 | Chennai |
| **ST059** | Sneha | Male | 24 | MECH | 82 | 74 | Vijayawada |
| **ST060** | Sneha | Male | 23 | ECE | 85 | 77 | Guntur |
| **ST061** | Priya | Female | 20 | CIVIL | 85 | 77 | Hyderabad |
| **ST062** | Priya | Female | 19 | CIVIL | 76 | 39 | Hyderabad |
| **ST063** | Kavya | Female | 20 | EEE | 87 | 100 | Hyderabad |
| **ST064** | Vivek | Male | 20 | CSE | 87 | 35 | Bangalore |
| **ST065** | Rohit | Male | 20 | MECH | 64 | 77 | Bangalore |
| **ST066** | Anjali | Male | 23 | EEE | 92 | 74 | Visakhapatnam |
| **ST067** | Vivek | Female | 21 | EEE | 95 | 51 | Vijayawada |
| **ST068** | Vivek | Female | 23 | ECE | 99 | 73 | Chennai |
| **ST069** | Rohit | Male | 20 | EEE | 73 | 90 | Bangalore |
| **ST070** | Kavya | Female | 21 | MECH | 88 | 62 | Bangalore |
| **ST071** | Pooja | Male | 23 | CSE | 78 | 100 | Visakhapatnam |
| **ST072** | Kavya | Female | 18 | ECE | 79 | 63 | Vijayawada |
| **ST073** | Arjun | Male | 18 | ECE | 90 | 44 | Chennai |
| **ST074** | Vivek | Male | 23 | MECH | 91 | 86 | Vijayawada |
| **ST075** | Arjun | Male | 24 | CSE | 87 | 63 | Vijayawada |
| **ST076** | Rohit | Female | 18 | CIVIL | 75 | 50 | Chennai |
| **ST077** | Arjun | Female | 23 | CIVIL | 95 | 75 | Chennai |
| **ST078** | Kavya | Female | 24 | CIVIL | 88 | 55 | Visakhapatnam |
| **ST079** | Pooja | Female | 20 | ECE | 100 | 70 | Bangalore |
| **ST080** | Pooja | Male | 20 | MECH | 64 | 71 | Vijayawada |
| **ST081** | Kiran | Female | 20 | CIVIL | 65 | 52 | Vijayawada |
| **ST082** | Sneha | Female | 23 | ECE | 73 | 43 | Chennai |
| **ST083** | Vivek | Female | 22 | MECH | 86 | 42 | Vijayawada |
| **ST084** | Vivek | Female | 24 | CIVIL | 61 | 83 | Chennai |
| **ST085** | Rahul | Female | 20 | MECH | 86 | 63 | Chennai |
| **ST086** | Sneha | Female | 21 | MECH | 61 | 84 | Guntur |
| **ST087** | Vivek | Male | 24 | MECH | 68 | 38 | Chennai |
| **ST088** | Kavya | Male | 18 | MECH | 68 | 94 | Vijayawada |
| **ST089** | Rahul | Female | 21 | EEE | 73 | 93 | Guntur |
| **ST090** | Anjali | Female | 20 | MECH | 76 | 45 | Chennai |
| **ST091** | Rahul | Male | 20 | ECE | 64 | 40 | Hyderabad |
| **ST092** | Sneha | Male | 24 | CSE | 99 | 54 | Vijayawada |
| **ST093** | Arjun | Female | 23 | CSE | 96 | 62 | Chennai |
| **ST094** | Kiran | Female | 19 | CIVIL | 98 | 49 | Vijayawada |
| **ST095** | Kiran | Male | 22 | CSE | 79 | 83 | Chennai |
| **ST096** | Sneha | Male | 22 | ECE | 66 | 73 | Visakhapatnam |
| **ST097** | Kavya | Male | 24 | CIVIL | 62 | 79 | Bangalore |
| **ST098** | Vivek | Female | 18 | CIVIL | 81 | 36 | Chennai |
| **ST099** | Pooja | Male | 21 | EEE | 100 | 93 | Visakhapatnam |
| **ST100** | Arjun | Female | 19 | CIVIL | 77 | 96 | Chennai |
